"","SORTER","Submitted_Name","Submitted_Author","Submitted_Genus","Submitted_Rank","Name_in_database","Author_in_database","Genus_in_database","Rank_in_database","ID_in_database","Name_set","Fuzzy","Score","name.dist","author.dist","New_name","New_author","New_ID","Family","Name_spLev","Accepted_SPNAME","NOTE"
"1159",408,"Silene ramosissima","","Silene",2,"Silene ramosissima","Desf.","Silene",2,255931,1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Silene ramosissima",NA
"1162",409,"Silene scabriflora","","Silene",2,"Silene scabriflora"," Brot.","Silene",2,255992,1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Silene scabriflora",NA
"1163",410,"Silene secundiflora","","Silene",2,"Silene secundiflora"," Otth","Silene",2,256016,1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Silene secundiflora",NA
"1168",411,"Silene vulgaris","","Silene",2,"Silene vulgaris"," (Moench) Garcke","Silene",2,256182,1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Silene vulgaris",NA
"1167",412,"Silene uniflora","","Silene",2,"Silene uniflora"," Roth","Silene",2,256140,1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Silene uniflora",NA
"1197",413,"Spergula arvensis","","Spergula",2,"Spergula arvensis"," L.","Spergula",2,253869,1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Spergula arvensis",NA
"1198",414,"Spergularia media","","Spergularia",2,"Spergularia media"," (L.) J.Presl","Spergularia",2,253837,1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Spergularia media",NA
"1199",415,"Spergularia rubra","","Spergularia",2,"Spergularia rubra","(L.) J.Presl & J.Presl","Spergularia",2,253858,1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Spergularia rubra",NA
"1211",416,"Stellaria graminea","","Stellaria",2,"Stellaria graminea","L.","Stellaria",2,408858,1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Stellaria graminea",NA
"1215",417,"Stellaria holostea","","Stellaria",2,"Stellaria holostea","L.","Stellaria",2,906175,1,FALSE,0.8,0,NA,"Rabelera holostea","(L.) M.T.Sharples & E.A.Tripp",256609,"Caryophyllaceae",NA,"Rabelera holostea",NA
"1216",418,"Stellaria media","","Stellaria",2,"Stellaria media","(L.) Vill.","Stellaria",2,408901,1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Stellaria media",NA
"396",419,"Drosophyllum lusitanicum","","Drosophyllum",2,"Drosophyllum lusitanicum","(L.) Link","Drosophyllum",2,253149,1,FALSE,0.8,0,NA,NA,NA,NA,"Drosophyllaceae",NA,"Drosophyllum lusitanicum",NA
"520",420,"Frankenia laevis","","Frankenia",2,"Frankenia laevis"," L.","Frankenia",2,249252,1,FALSE,0.8,0,NA,NA,NA,NA,"Frankeniaceae",NA,"Frankenia laevis",NA
"523",421,"Frankenia salina","","Frankenia",2,"Frankenia salina","I.M.Johnst.","Frankenia",2,249283,1,FALSE,0.8,0,NA,NA,NA,NA,"Frankeniaceae",NA,"Frankenia salina",NA
"292",422,"Claytonia exigua","","Claytonia",2,"Claytonia exigua"," Douglas ex Torr. &  A.Gray","Claytonia",2,266184,1,FALSE,0.8,0,NA,NA,NA,NA,"Montiaceae",NA,"Claytonia exigua",NA
"294",423,"Claytonia perfoliata","","Claytonia",2,"Claytonia perfoliata"," Donn.","Claytonia",2,266216,1,FALSE,0.8,0,NA,NA,NA,NA,"Montiaceae",NA,"Claytonia perfoliata",NA
"261",424,"Chorizanthe cuspidata","","Chorizanthe",2,"Chorizanthe cuspidata","S.Watson","Chorizanthe",2,251428,1,FALSE,0.8,0,NA,NA,NA,NA,"Polygonaceae",NA,"Chorizanthe cuspidata",NA
"262",425,"Chorizanthe robusta","","Chorizanthe",2,"Chorizanthe robusta","Parry","Chorizanthe",2,251468,1,FALSE,0.8,0,NA,NA,NA,NA,"Polygonaceae",NA,"Chorizanthe robusta",NA
"459",426,"Eriogonum fasciculatum","","Eriogonum",2,"Eriogonum fasciculatum","Benth.","Eriogonum",2,251077,1,FALSE,0.8,0,NA,NA,NA,NA,"Polygonaceae",NA,"Eriogonum fasciculatum",NA
"460",427,"Eriogonum giganteum","","Eriogonum",2,"Eriogonum giganteum","S.Watson","Eriogonum",2,251090,1,FALSE,0.8,0,NA,NA,NA,NA,"Polygonaceae",NA,"Eriogonum giganteum",NA
"461",428,"Eriogonum grande","","Eriogonum",2,"Eriogonum grande","Greene","Eriogonum",2,251101,1,FALSE,0.8,0,NA,NA,NA,NA,"Polygonaceae",NA,"Eriogonum grande",NA
"462",429,"Eriogonum latifolium","","Eriogonum",2,"Eriogonum latifolium","Sm.","Eriogonum",2,251154,1,FALSE,0.8,0,NA,NA,NA,NA,"Polygonaceae",NA,"Eriogonum latifolium",NA
"463",430,"Eriogonum nudum","","Eriogonum",2,"Eriogonum nudum","Douglas ex Benth.","Eriogonum",2,251206,1,FALSE,0.8,0,NA,NA,NA,NA,"Polygonaceae",NA,"Eriogonum nudum",NA
"464",431,"Eriogonum parvifolium","","Eriogonum",2,"Eriogonum parvifolium","Sm.","Eriogonum",2,251245,1,FALSE,0.8,0,NA,NA,NA,NA,"Polygonaceae",NA,"Eriogonum parvifolium",NA
"465",432,"Eriogonum saxatile","","Eriogonum",2,"Eriogonum saxatile","S.Watson","Eriogonum",2,251278,1,FALSE,0.8,0,NA,NA,NA,NA,"Polygonaceae",NA,"Eriogonum saxatile",NA
"466",433,"Eriogonum umbellatum","","Eriogonum",2,"Eriogonum umbellatum","Torr.","Eriogonum",2,251322,1,FALSE,0.8,0,NA,NA,NA,NA,"Polygonaceae",NA,"Eriogonum umbellatum",NA
"935",434,"Persicaria amphibia","","Persicaria",2,"Persicaria amphibia","(L.) Gray","Persicaria",2,251547,1,FALSE,0.8,0,NA,NA,NA,NA,"Polygonaceae",NA,"Persicaria amphibia",NA
"936",435,"Persicaria punctata","","Persicaria",2,"Persicaria punctata","(Elliott) Small","Persicaria",2,251683,1,FALSE,0.8,0,NA,NA,NA,NA,"Polygonaceae",NA,"Persicaria punctata",NA
"972",436,"Polygonum paronychia","","Polygonum",2,"Polygonum paronychia","Cham. &  Schltdl.","Polygonum",2,252593,1,FALSE,0.8,0,NA,NA,NA,NA,"Polygonaceae",NA,"Polygonum paronychia",NA
"90",437,"Armeria pungens","","Armeria",2,"Armeria pungens","(Link) Hoffmanns. &  Link","Armeria",2,250652,1,FALSE,0.8,0,NA,NA,NA,NA,"Plumbaginaceae",NA,"Armeria pungens",NA
"1359",438,"Armeria maritima californica","","Armeria",2,"Armeria maritima ssp. californica","(Boiss.) A.E.Porsild","Armeria",3,250630,1,FALSE,0.55,5,NA,NA,NA,NA,"Plumbaginaceae",NA,"Armeria maritima","Multiple results"
"689",439,"Limoniastrum monopetalum","","Limoniastrum",2,"Limoniastrum monopetalum","(L.) Boiss.","Limoniastrum",2,249458,1,FALSE,0.8,0,NA,NA,NA,NA,"Plumbaginaceae",NA,"Limoniastrum monopetalum",NA
"690",440,"Limonium algarvense","","Limonium",2,"Limonium algarvense","Erben","Limonium",2,249874,1,FALSE,0.8,0,NA,NA,NA,NA,"Plumbaginaceae",NA,"Limonium algarvense",NA
"691",441,"Limonium bonduellei","","Limonium",2,"Limonium bonduellei","(F. Lestib.) Kuntze","Limonium",2,893435,1,FALSE,0.8,0,NA,"Limonium sinense ssp. bonduellei","(F.Lestib.) Sauvage & Vindt",250417,"Plumbaginaceae",NA,"Limonium sinense",NA
"692",442,"Limonium minutum","","Limonium",2,"Limonium minutum"," (L.) Chaz.","Limonium",2,250249,1,FALSE,0.8,0,NA,NA,NA,NA,"Plumbaginaceae",NA,"Limonium minutum",NA
"494",443,"Euonymus occidentalis","","Euonymus",2,"Euonymus occidentalis"," Nutt. ex Torr.","Euonymus",2,136977,1,FALSE,0.8,0,NA,NA,NA,NA,"Celastraceae",NA,"Euonymus occidentalis",NA
