Mayor group,Order,Family,Tribus,Species,Flower color composition,Main flower color,Flavonoids,Anthocyanins,Aurones,Carotenoids,Chlorophylls, N_pigments
Eudicotyledoneae,Asterales,Asteraceae,Astereae,Bellis_sylvestris,White/Yellow,White ,1,0  ,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Carduus_bourgeanus,White/Yellow,White,1,0  ,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Carduus_tenuiflorus,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Carthamus_caeruleus,Blue,Blue,1,1  ,0,0,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Centaurea_pullata,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Centaurea_sphaerocephala,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Crupina_vulgaris,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Cynara_humilis,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Galactites_tomentosus,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Mantisalca_duriaei,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Mantisalca_salmantica,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Notobasis_syriaca,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Asterales,Asteraceae,Calenduleae,Calendula_arvensis,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Calenduleae,Calendula_officinalis,Orange,Orange,1,0  ,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Andryala_integrifolia,Yellow,Yellow,1,0  ,1,0,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Cichorium_intybus,Blue,Blue,1,1  ,0,0,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Crepis_vesicaria,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Geropogon_hybridus,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Hedypnois_rhagadioloides,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Leontodon_saxatilis,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Reichardia_gaditana,Yellow/Purple,Yellow,1,1  ,0,1,0,3
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Podospermum_laciniatum,Yellow/Purple,Yellow,1,0  ,0,1,1,3
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Reichardia_intermedia,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Rhagadiolus_edulis,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Sonchus_oleraceus,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Sonchus_radicatus,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Tolpis_barbata,Yellow/Purple,Yellow,1,1  ,1,0,0,3
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Tragopogon_porrifolius,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Urospermum_picroides,Yellow,Yellow,1,0  ,1,0,0,2
Eudicotyledoneae,Asterales,Asteraceae,Gnaphalieae,Phagnalon_saxatile,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Inuleae,Asteriscus_aquaticus,Yellow,Yellow,0,0  ,1,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Inuleae,Dittrichia_viscosa,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Inuleae,Pallenis_maritima,Yellow,Yellow,1,0  ,1.0,1,0,3
Eudicotyledoneae,Asterales,Asteraceae,Inuleae,Pallenis_spinosa,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Inuleae,Pulicaria_arabica,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Senecioneae,Jacobaea_aquatica,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Senecioneae,Senecio_gallicus,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Asterales,Campanulaceae,,Campanula_erinus,Blue,Blue,1,1  ,0,0,0,2
Eudicotyledoneae,Asterales,Campanulaceae,,Campanula_rapunculus,Blue,Blue,1,1  ,0,0,0,2
Eudicotyledoneae,Asterales,Campanulaceae,,Jasione_montana,Blue,Blue,1,1  ,0,0,0,2
Eudicotyledoneae,Boraginales,Boraginaceae,,Anchusa_azurea,Blue,Blue,1,1  ,0,0,0,2
Eudicotyledoneae,Boraginales,Boraginaceae,,Anchusa_puechii,Blue,Blue,1,1  ,0,0,0,2
Eudicotyledoneae,Boraginales,Boraginaceae,,Borago_officinalis,Blue,Blue,1,1  ,0,0,0,2
Eudicotyledoneae,Boraginales,Boraginaceae,,Cynoglossum_clandestinum,Blue,Blue,1,1  ,0,0,0,2
Eudicotyledoneae,Boraginales,Boraginaceae,,Cynoglossum_creticum,Blue/White,Blue,1,1  ,0,0,0,2
Eudicotyledoneae,Boraginales,Boraginaceae,,Echium_albicans,Blue,Blue,1,1  ,0,0,0,2
Eudicotyledoneae,Boraginales,Boraginaceae,,Echium_boissieri,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Boraginales,Boraginaceae,,Echium_creticum,Blue,Blue,1,1  ,0,0,0,2
Eudicotyledoneae,Boraginales,Boraginaceae,,Echium_vulgare,Blue,Blue,1,1  ,0,0,0,2
Eudicotyledoneae,Boraginales,Boraginaceae,,Echium_plantagineum,Blue,Blue,1,1  ,0,0,0,2
Eudicotyledoneae,Boraginales,Boraginaceae,,Glandora_prostrata,Blue,Blue,1,1  ,0,0,0,2
Eudicotyledoneae,Boraginales,Boraginaceae,,Heliotropium_europaeum,White/Green,White,1,0  ,0,0,1,2
Eudicotyledoneae,Boraginales,Boraginaceae,,Nonea_vesicaria,Purple,Purple,1,1  ,0,0,0,2
Eudicotyledoneae,Brassicales,Brassicaceae,,Arabis_verna,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Brassicales,Brassicaceae,,Biscutella_auriculata,Yellow/Green,Yellow,1,0  ,0,1,1,3
Eudicotyledoneae,Brassicales,Brassicaceae,,Biscutella_variegata,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Brassicales,Brassicaceae,,Brassica_nigra,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Brassicales,Brassicaceae,,Cakile_maritima,White,White,1,0  ,0,0,0,1
Eudicotyledoneae,Brassicales,Brassicaceae,,Crambe_filiformis,White,White,1,0  ,0,0,0,1
Eudicotyledoneae,Brassicales,Brassicaceae,,Diplotaxis_erucoides,White,White,1,0  ,0,0,0,1
Eudicotyledoneae,Brassicales,Brassicaceae,,Diplotaxis_virgata,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Brassicales,Brassicaceae,,Eruca_sativa,White/Yellow/Brown,Yellow,1,1  ,0,1,1,4
Eudicotyledoneae,Brassicales,Brassicaceae,,Hirschfeldia_incana,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Brassicales,Brassicaceae,,Isatis_platyloba,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Brassicales,Brassicaceae,,Malcolmia_littorea,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Brassicales,Brassicaceae,,Matthiola_fruticulosa,Brown/Green,Brown,1,1  ,0,1,1,4
Eudicotyledoneae,Brassicales,Brassicaceae,,Moricandia_arvensis,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Brassicales,Brassicaceae,,Moricandia_moricandioides,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Brassicales,Brassicaceae,,Raphanus_raphanistrum,White/Yellow/Purple,White,1,1  ,0,1,1,4
Eudicotyledoneae,Brassicales,Brassicaceae,,Sinapis_alba,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Brassicales,Brassicaceae,,Sinapis_arvensis,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Brassicales,Brassicaceae,,Sisymbrium_austriacum,Yellow,Yellow,0,0  ,0,1,0,1
Eudicotyledoneae,Brassicales,Capparaceae,,Capparis_spinosa,White/Green,White,1,0  ,0,0,1,2
Eudicotyledoneae,Brassicales,Resedaceae,,Reseda_lutea,Whitish,White,1,0  ,0,0,0,1
Eudicotyledoneae,Brassicales,Resedaceae,,Reseda_luteola,White,White,1,0  ,0,0,0,1
Eudicotyledoneae,Brassicales,Resedaceae,,Reseda_media,White,White,1,0  ,0,0,0,1
Eudicotyledoneae,Brassicales,Tropaeolaceae,,Tropaeolum_majus,Red,Red,1,1  ,0,1,0,3
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Arenaria_hispanica,White,White,1,0  ,0,0,0,1
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Paronychia_argentea,White/Green,White,1,0  ,0,0,1,2
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Silene_colorata,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Silene_gallica,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Silene_latifolia,White,White,1,0  ,0,0,0,1
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Silene_littorea,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Silene_adscendens,Pink,Pink,1,1  ,0,0,0,2
