Major lineage,Order,Family,Tribe,Species (names WFO),Species (names WFO)2,Anthocyanins,Aurones,Carotenoids,Chlorophylls, N_pigments
Monocotyledoneae,Commelinales,Commelinaceae,,Tradescantia_virginiana,Tradescantia virginiana,1,NA,0,NA,NA
Monocotyledoneae,Dioscoreales,Nartheciaceae,,Narthecium_ossifragum,Narthecium ossifragum,0,NA,1,NA,NA
Monocotyledoneae,Liliales,Colchicaceae,,Colchicum_autumnale,Colchicum autumnale,1,0,0,0,1
Monocotyledoneae,Liliales,Colchicaceae,,Sandersonia_aurantiaca,Sandersonia aurantiaca,0,0,1,NA,NA
Monocotyledoneae,Liliales,Liliaceae,,Calochortus_albus,Calochortus albus,1,0,0,1,2
Monocotyledoneae,Liliales,Liliaceae,,Calochortus_luteus,Calochortus luteus,1,1,0,1,3
Monocotyledoneae,Liliales,Liliaceae,,Calochortus_venustus,Calochortus venustus,1,0,0,1,2
Monocotyledoneae,Liliales,Liliaceae,,Clintonia_andrewsiana,Clintonia andrewsiana,1,0,0,1,2
Monocotyledoneae,Liliales,Liliaceae,,Fritillaria_affinis,Fritillaria affinis,1,0,1,1,3
Monocotyledoneae,Liliales,Liliaceae,,Fritillaria_lusitanica,Fritillaria lusitanica,1,0,1,1,3
Monocotyledoneae,Liliales,Liliaceae,,Lilium_pardalinum,Lilium pardalinum,1,0,1,0,2
Monocotyledoneae,Liliales,Liliaceae,,Lilium_ochraceum,Lilium ochraceum,1,NA,NA,NA,NA
Monocotyledoneae,Liliales,Liliaceae,,Tulipa_sylvestris,Tulipa sylvestris,NA,NA,1,NA,NA
Monocotyledoneae,Liliales,Melanthiaceae,,Toxicoscordion_fremontii,Toxicoscordion fremontii,0,0,1,0,1
Monocotyledoneae,Liliales,Melanthiaceae,,Trillium_albidum,Trillium albidum,0,0,0,0,0
Monocotyledoneae,Liliales,Melanthiaceae,,Trillium_chloropetalum,Trillium chloropetalum,1,0,1,1,3
Monocotyledoneae,Liliales,Melanthiaceae,,Trillium_ovatum,Trillium ovatum,1,0,0,0,1
Monocotyledoneae,Liliales,Melanthiaceae,,Xerophyllum_tenax,Xerophyllum tenax,0,0,0,0,0
Monocotyledoneae,Liliales,Smilacaceae,,Smilax_aspera,Smilax aspera,0,0,0,0,0
Monocotyledoneae,Liliales,Velloziaceae,,Barbacenia_flava,Barbacenia flava,0,0,1,0,1
Monocotyledoneae,Liliales,Velloziaceae,,Vellozia_epidendroides,Vellozia epidendroides,0,0,0,0,0
Monocotyledoneae,Poales,Cyperaceae,,Rhynchospora_consanguinea,Rhynchospora consanguinea,0,0,0,0,0
Monocotyledoneae,Poales,Eriocaulaceae,,Paepalanthus_bromelioides,Paepalanthus bromelioides,0,0,0,0,0
Monocotyledoneae,Poales,Xyridaceae,,Xyris_asperula,Xyris asperula,1,0,1,0,2
Monocotyledoneae,Poales,Xyridaceae,,Xyris_itatiayensis,Xyris itatiayensis,1,0,1,0,2
Monocotyledoneae,Poales,Xyridaceae,,Xyris_piranii,Xyris piranii,1,0,1,0,2
Monocotyledoneae,Poales,Xyridaceae,,Xyris_subsetigera,Xyris subsetigera,1,0,1,0,2
Monocotyledoneae,Poales,Xyridaceae,,Xyris_trachyphylla,Xyris trachyphylla,1,0,1,0,2
Monocotyledoneae,Zingiberales,Zingiberaceae,,Roscoea alpina,Roscoea alpina,1,NA,0,NA,NA
Eudicotyledoneae,Apiales,Apiaceae,,Angelica_breweri,Angelica breweri,0,0,0,0,0
Eudicotyledoneae,Apiales,Apiaceae,,Angelica_capitellata,Angelica capitellata,0,0,0,0,0
Eudicotyledoneae,Apiales,Apiaceae,,Anthriscus_sylvestris,Anthriscus sylvestris,0,NA,0,NA,NA
Eudicotyledoneae,Apiales,Apiaceae,,Cicuta_douglasii,Cicuta douglasii,0,0,0,1,1
Eudicotyledoneae,Apiales,Apiaceae,,Daucus_carota,Daucus carota,1,0,0,0,1
Eudicotyledoneae,Apiales,Apiaceae,,Eryngium_pinnatisectum,Eryngium pinnatisectum,0,0,0,1,1
Eudicotyledoneae,Apiales,Apiaceae,,Foeniculum_vulgare,Foeniculum vulgare,0,0,1,0,1
Eudicotyledoneae,Apiales,Apiaceae,,Heracleum_maximum,Heracleum maximum,0,0,0,0,0
Eudicotyledoneae,Apiales,Apiaceae,,Klotzschia_rhizophylla,Klotzschia rhizophylla,0,0,0,0,0
Eudicotyledoneae,Apiales,Apiaceae,,Lomatium_observatorium,Lomatium observatorium,0,0,1,0,1
Eudicotyledoneae,Apiales,Apiaceae,,Oenanthe_crocata,Oenanthe crocata,0,NA,0,NA,NA
Eudicotyledoneae,Apiales,Apiaceae,,Oenanthe_globulosa,Oenanthe globulosa,0,0,0,0,0
Eudicotyledoneae,Apiales,Apiaceae,,Oenanthe_sarmentosa,Oenanthe sarmentosa,0,0,0,1,1
Eudicotyledoneae,Apiales,Apiaceae,,Osmorhiza_berteroi,Osmorhiza berteroi,0,0,0,1,1
Eudicotyledoneae,Apiales,Apiaceae,,Perideridia_kelloggii,Perideridia kelloggii,0,0,0,1,1
Eudicotyledoneae,Apiales,Apiaceae,,Perideridia_lemmonii,Perideridia lemmonii,0,0,0,0,0
Eudicotyledoneae,Apiales,Apiaceae,,Torilis_arvensis,Torilis arvensis,0,0,0,0,0
Eudicotyledoneae,Apiales,Apiaceae,,Torilis_nodosa,Torilis nodosa,0,0,0,0,0
Eudicotyledoneae,Apiales,Apiaceae,,Thapsia_transtagana,Thapsia transtagana,0,0,1,0,1
Eudicotyledoneae,Apiales,Apiaceae,,Sanicula_crassicaulis,Sanicula crassicaulis,0,0,1,1,2
Eudicotyledoneae,Apiales,Apiaceae,,Scandix_pecten-veneris,Scandix pecten-veneris,0,0,0,0,0
Eudicotyledoneae,Apiales,Araliaceae,,Aralia_californica,Aralia californica,0,0,0,0,0
Eudicotyledoneae,Asterales,Asteraceae,Anthemideae,Achillea_millefolium,Achillea millefolium,0,0,0,0,0
Eudicotyledoneae,Asterales,Asteraceae,Anthemideae,Anacyclus_clavatus,Anacyclus clavatus,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Anthemideae,Anacyclus_radiatus,Anacyclus radiatus,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Anthemideae,Chamaemelum_fuscatum,Chamaemelum fuscatum,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Anthemideae,Coleostephus_myconis,Coleostephus myconis,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Anthemideae,Glebionis_coronaria,Glebionis coronaria,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Anthemideae,Glebionis_segetum,Glebionis segetum,0,1,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Anthemideae,Leucanthemum_vulgare ,Leucanthemum vulgare ,0,NA,1,NA,NA
Eudicotyledoneae,Asterales,Asteraceae,Anthemideae,Matricaria_chamomilla,Matricaria chamomilla,0,NA,1,NA,NA
Eudicotyledoneae,Asterales,Asteraceae,Anthemideae,Tanacetum_camphoratum,Tanacetum camphoratum,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Anthemideae,Tripleurospermum_inodorum,Tripleurospermum inodorum,0,NA,1,NA,NA
Eudicotyledoneae,Asterales,Asteraceae,Astereae,Bellis_cordifolia,Bellis cordifolia,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Astereae,Bellis_sylvestris,Bellis sylvestris,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Astereae,Baccharis_salicifolia,Baccharis salicifolia,0,0,0,0,0
Eudicotyledoneae,Asterales,Asteraceae,Astereae,Corethrogyne_filaginifolia,Corethrogyne filaginifolia,1,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Astereae,Ericameria_cuneata,Ericameria cuneata,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Astereae,Ericameria_ericoides,Ericameria ericoides,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Astereae,Ericameria_nauseosa,Ericameria nauseosa,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Astereae,Ericameria_suffruticosa,Ericameria suffruticosa,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Astereae,Erigeron_coulteri,Erigeron coulteri,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Astereae,Erigeron_glacialis,Erigeron glacialis,1,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Astereae,Erigeron_glaucus,Erigeron glaucus,1,0,0,0,1
Eudicotyledoneae,Asterales,Asteraceae,Astereae,﻿Erigeron_philadelphicus,﻿Erigeron philadelphicus,1,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Astereae,Eurybia_integrifolia,Eurybia integrifolia,1,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Astereae,Eurybia_radulina,Eurybia radulina,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Astereae,Grindelia_hirsutula,Grindelia hirsutula,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Astereae,Gutierrezia_californica,Gutierrezia californica,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Astereae,Hazardia_detonsa,Hazardia detonsa,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Astereae,Hazardia_squarrosa,Hazardia squarrosa,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Astereae,Heterotheca_grandiflora,Heterotheca grandiflora,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Astereae,Heterotheca_sessiliflora_bolanderi,Heterotheca sessiliflora bolanderi,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Astereae,Solidago_elongata,Solidago elongata,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Astereae,Solidago_spathulata,Solidago spathulata,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Astereae,Solidago_velutina_californica,Solidago velutina californica,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Astereae,Symphyotrichum_chilense,Symphyotrichum chilense,1,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Astereae,Symphyotrichum_lentum,Symphyotrichum lentum,1,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Astereae,Symphyotrichum_spathulatum,Symphyotrichum spathulatum,1,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Carduus_bourgaeanus,Carduus bourgaeanus,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Carduus_tenuiflorus,Carduus tenuiflorus,1,0,0,0,1
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Carthamus_caeruleus,Carthamus caeruleus,1,0,0,0,1
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Centaurea_pullata,Centaurea pullata,1,0,0,0,1
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Centaurea_sphaerocephala,Centaurea sphaerocephala,1,0,0,0,1
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Cirsium_andersonii,Cirsium andersonii,1,0,0,0,1
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Cirsium_brevistylum,Cirsium brevistylum,1,0,0,0,1
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Cirsium_fontinale,Cirsium fontinale,1,0,0,0,1
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Cirsium_occidentale,Cirsium occidentale,1,0,0,0,1
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Cirsium_palustre ,Cirsium palustre ,1,1,NA,NA,NA
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Cirsium_japonicum ,Cirsium japonicum ,NA,1,NA,NA,NA
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Crupina_vulgaris,Crupina vulgaris,1,0,0,0,1
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Cynara_humilis,Cynara humilis,1,0,0,0,1
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Galactites_tomentosa,Galactites tomentosa,1,0,0,0,1
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Mantisalca_duriaei,Mantisalca duriaei,1,0,0,0,1
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Mantisalca_salmantica,Mantisalca salmantica,1,0,0,0,1
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Notobasis_syriaca,Notobasis syriaca,1,0,0,0,1
Eudicotyledoneae,Asterales,Asteraceae,Calenduleae,Calendula_arvensis,Calendula arvensis,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Calenduleae,Calendula_officinalis,Calendula officinalis,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,﻿Agoseris_grandiflora,﻿Agoseris grandiflora,1,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Andryala_integrifolia,Andryala integrifolia,0,1,0,0,1
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Cichorium_intybus,Cichorium intybus,1,0,0,0,1
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Crepis_vesicaria,Crepis vesicaria,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Geropogon_hybridus,Geropogon hybridus,1,0,0,0,1
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Hedypnois_rhagadioloides,Hedypnois rhagadioloides,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Helminthotheca_echioides,Helminthotheca echioides,NA,1,NA,NA,NA
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Hieracium_albiflorum,Hieracium albiflorum,0,0,0,0,0
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Leontodon_hispidus,Leontodon hispidus,0,NA,1,NA,NA
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Leontodon_saxatilis,Leontodon saxatilis,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Malacothrix_floccifera,Malacothrix floccifera,1,0,1,1,3
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Pilosella_arguta,Pilosella arguta,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Pilosella_horrida,Pilosella horrida,0,0,1,0,1
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Reichardia_gaditana,Reichardia gaditana,1,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Podospermum_laciniatum,Podospermum laciniatum,0,0,1,1,2
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Reichardia_intermedia,Reichardia intermedia,0,0,1,0,1
